regime,time,A_d,A_p,A_c
productive_activation,0,0.8498570229564335,0.5976828710185772,0.11306570235362035
productive_activation,1,0.8814256922530298,0.7142713038996571,0.09774429898156715
productive_activation,2,0.898473886722998,0.6507867896180564,0.13551056651653715
productive_activation,3,0.9095849944653736,0.655139413506676,0.09615195816561048
productive_activation,4,0.924303439320663,0.672381280069804,0.23537070062012258
productive_activation,5,0.9070691113408023,0.7424380771355743,0.09422460856876992
productive_activation,6,0.9033611498967501,0.7897348542659557,0.06779905735285445
productive_activation,7,0.9222338864186682,0.804132688141802,0.09825576199909958
productive_activation,8,0.8806763528094635,0.857211589417868,0.19953237536777282
productive_activation,9,0.8635646282370742,0.9157455287545625,0.18863596760327495
productive_activation,10,0.8462831650196841,0.8834049626695385,0.1513912142334282
productive_activation,11,0.7605922270308979,0.8913916241967477,0.05180316344922303
productive_activation,12,0.6504032678989937,0.8741814372320729,0.11975265249416063
productive_activation,13,0.5341376332872312,0.8315843603969013,0.03748534326292722
productive_activation,14,0.41598491934563414,0.8054683927832407,0.21776736618089912
productive_activation,15,0.3052470912541508,0.7757789804754941,0.31840315160437627
productive_activation,16,0.2712941510225769,0.775305499202027,0.374417641520245
productive_activation,17,0.30891220204481223,0.8106788068731456,0.4271722855096026
productive_activation,18,0.304141240185864,0.8447084782759897,0.49264807918991066
productive_activation,19,0.2600187691172633,0.851146167671334,0.627721986747449
productive_activation,20,0.362683351088134,0.8661234119868475,0.6338079370761793
productive_activation,21,0.39185413859786583,0.8908245056875047,0.7054426162521252
productive_activation,22,0.41986088796567633,0.8772654466645567,0.6975634624270237
productive_activation,23,0.38675215909584804,0.85459659708784,0.672395553564644
productive_activation,24,0.42933170439648677,0.8172905265451222,0.6371966814706943
productive_activation,25,0.3837771140639037,0.8245748057308737,0.666692012566645
productive_activation,26,0.5080475894300821,0.8214105496397756,0.6057115209599984
productive_activation,27,0.4922431524082547,0.7170407692983797,0.7450949072508728
productive_activation,28,0.437538157417997,0.732219861250655,0.8148054093107616
productive_activation,29,0.48144297301107747,0.7181240610422658,0.8080800749536199
checkpoint_suppression,0,0.7809844706674672,0.048645524005042524,0.2929009264349774
checkpoint_suppression,1,0.7925393728882488,-0.036490871492957384,-0.11467777926174333
checkpoint_suppression,2,0.803190895999735,0.0620908134496257,0.033785549545583986
checkpoint_suppression,3,0.8166091392752832,0.03973694618316214,0.05944263370497389
checkpoint_suppression,4,0.8143969121241678,0.1878351524110199,0.013535066357413595
checkpoint_suppression,5,0.8187946426773808,0.25580439571856356,0.03128666779461959
checkpoint_suppression,6,0.7875516007306437,0.24139828799922253,0.13010074313629436
checkpoint_suppression,7,0.8229524112032538,0.16902089417821245,-0.0548393653944897
checkpoint_suppression,8,0.8380236214800362,0.06094975681962506,0.050865976239031385
checkpoint_suppression,9,0.82691933482717,0.10986394865606508,-0.1758901936485928
checkpoint_suppression,10,0.8054644123723986,0.011240808050505176,-0.13593495050840665
checkpoint_suppression,11,0.7780369296498879,-0.07835079070561805,0.20417056755449517
checkpoint_suppression,12,0.7219172197905307,0.2646058537918279,0.161883726932733
checkpoint_suppression,13,0.7322606173541892,0.2119156887488028,-0.07218063004719946
checkpoint_suppression,14,0.7152193657049658,0.2417505412459396,-0.10601415027108142
checkpoint_suppression,15,0.677077828086472,0.2431360744696789,0.053155424910258445
checkpoint_suppression,16,0.5992575348912242,0.3097443934659008,-0.2604960879990381
checkpoint_suppression,17,0.5016055637817197,0.09601303547321051,-0.29663840332670754
