classifier,model,fold,balanced_accuracy,macro_AUROC,log_loss,n_features,features
logistic,amplitude_only,43,0.2589285714285714,0.5357142857142856,1.3829945210095378,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,44,0.24107142857142858,0.5093537414965986,1.3865662470222304,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,45,0.19642857142857142,0.4753401360544217,1.3949842314752328,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,46,0.2589285714285714,0.5273171768707483,1.3849612270127751,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,47,0.26785714285714285,0.4655612244897959,1.391479529006985,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,48,0.2232142857142857,0.46279761904761907,1.3964770355862122,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,49,0.2232142857142857,0.5338010204081634,1.3864392432900647,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,50,0.2589285714285714,0.5102040816326531,1.385813049187581,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,51,0.25,0.5146683673469388,1.3863144773785336,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,52,0.2589285714285714,0.5187074829931972,1.3827525846755597,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,53,0.22321428571428573,0.470875850340136,1.4010284629011076,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,54,0.23214285714285715,0.524766156462585,1.3835972680038535,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,55,0.29464285714285715,0.556547619047619,1.382164210334956,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,56,0.23214285714285715,0.4781037414965986,1.3983844749582006,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,57,0.2767857142857143,0.5170068027210885,1.3863401750937236,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,58,0.25,0.4449404761904762,1.4059503261400803,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,59,0.25,0.49213435374149667,1.3892053572205358,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,60,0.25,0.4583333333333333,1.3967927657055406,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,61,0.2232142857142857,0.5348639455782314,1.384897488685978,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,62,0.26785714285714285,0.5601615646258503,1.3814994855932954,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,63,0.24107142857142858,0.49447278911564624,1.3854802266274722,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,64,0.25,0.4649234693877551,1.395878525789104,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,65,0.23214285714285715,0.5036139455782314,1.388814172270752,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,66,0.19642857142857145,0.46279761904761896,1.399260929736588,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,67,0.2142857142857143,0.5197704081632654,1.3888738538643526,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,68,0.30357142857142855,0.547406462585034,1.3825402225274053,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,69,0.26785714285714285,0.47151360544217685,1.386206964642101,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,70,0.20535714285714285,0.5006377551020409,1.3879390072921036,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,71,0.23214285714285715,0.5386904761904763,1.3847930438723774,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,72,0.2946428571428571,0.5459183673469388,1.3823507512969537,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,73,0.2142857142857143,0.43324829931972786,1.395086244881597,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_only,74,0.24107142857142858,0.46875,1.4023274555437648,3,"Y_total_mean,Y_total_integral,contact_area"
logistic,amplitude_plus_carrier_mass,0,0.2857142857142857,0.5268920068027211,1.3857694015228,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,1,0.23214285714285715,0.5128613945578232,1.3885942353130118,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,2,0.24107142857142855,0.45163690476190477,1.4111788241007697,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,3,0.2232142857142857,0.4995748299319728,1.3899092076065627,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,4,0.29464285714285715,0.5470875850340137,1.3803689870520504,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,5,0.2857142857142857,0.4785289115646258,1.3902347810959002,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,6,0.2767857142857143,0.5003188775510203,1.3880172595931424,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,7,0.21428571428571427,0.46875,1.3984841719683534,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
